id,category,subcategory,arabic,targetLanguage,originalText,arabicTranslation,literalTranslation,arabicPronunciation,country,region,dialect,register,audience,gender,ageGroup,situation,tone,formality,familiarity,frequency,culturalNotes,usageNotes,alternatives,relatedPhrases,confidence,sources,noDirectArabic
TR034,L ضيافة,شاي,تفضل قهوة/شاي؟,tr,Çay içer misiniz?,تشرب شاي؟,,تشاي إيچر ميسينيز,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,بازار/سجاد/ذهب,ودود,شعبي,منخفضة,🔥 شائعة جدًا,طقس بيع. القبول لا يُلزم بالشراء.,,,,عالية,T1,no
TR035,M مزاح,دائم,غبت علينا,tr,"Neredeydin, özlemiştik",وينك، اشتقنا,,نرده يدين، أوزله ميشتيك,تركيا,عام,,عفوي,زبون دائم,الجميع,الجميع,زبون دائم,ودود,عفوي,منخفضة,⭐ شائعة,,,,,متوسطة,T5,no
TR036,N غضب,اعتذار,معك حق,tr,"Haklısınız, dinliyorum",معك حق، أسمعك,,حقْلِسِنِز، دينليوروم,تركيا,عام,,رسمي جدًا,الجميع,الجميع,الجميع,زبون غاضب,ودود,رسمي جدًا,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR037,N إرجاع,حل,نبدله,tr,Değiştiririz / iade ederiz,نبدّل / نرجّع,,دييشتيريريز / إياده إديريز,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,عيب/إرجاع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR038,N إرجاع,فاتورة,معك الفاتورة؟,tr,Fişiniz var mı?,معك الإيصال؟,,فيشينيز فار مِ,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,إرجاع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR039,J إضافي,مكمل,خذ معها هذا يكملها,tr,"Yanına şunu alın, tamamlar",خذ معه هذا يكمّله,,يانِنا شونو آلِن، تمامْلار,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,بيع إضافي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR040,C مخاطبة,تحذير,يا حبيبتي (ممنوع),tr,Canım / tatlım / güzelim,يا روحي / يا حلو — لا تُقال لغريبة,,جانِم / تاتلِم / گوزليم,تركيا,عام,,حميمي,الجميع,امرأة,الجميع,⚠️ لا تُقال لامرأة غريبة,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,T5,no
TR041,P مثل,ثقافة,الزبون غالي,tr,Müşteri velinimetimizdir,الزبون ولي نعمتنا,,موشتري فلي نعمتِمِزدير,تركيا,عام,,رسمي جدًا,الجميع,الجميع,الجميع,لافتات وتجار تقليديون,ودود,رسمي جدًا,منخفضة,⭐ شائعة,,,,,عالية,T4,yes
TR042,I إغلاق,محاسبة,نحسبها لك؟,tr,Kasaya geçelim mi?,نروح على الصندوق؟,,كاسايا گه چه ليم مي,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,إغلاق,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,T5,no
TR043,A جذب,استدعاء أخير,لا تروح عشانك أنزل,tr,"Abi, durun! Bir fiyat daha vereyim",قف! أعطيك سعر أحسن,,آبي دورون بير فيات داها فيرييم,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,الزبون يغادر بعد السعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,مرة أو مرتين بابتسامة فقط.,,,,عالية,T5,no
TR044,H تفاوض,نتوسط,خلينا نتفق,tr,Orta yolda buluşalım,نتوسط الطريق,,أورتا يولدا بولوشالِم,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,مساومة,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,T5,no
TR045,K دائم,طلب معتاد,ماذا نجهز لك اليوم؟,tr,Her zamanki mi?,طلبك المعتاد؟,,هر زمانكي مي,تركيا,عام,,عفوي,زبون دائم,الجميع,الجميع,زبون دائم,ودود,عفوي,منخفضة,⭐ شائعة,,,,,عالية,T5,no
ID001,B ترحيب,دعوة,تفضل,id,Silakan,تفضل,,سيلاكان,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,ترحيب ودعوة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Silakan masuk|Monggo,,عالية,I1 I4,no
ID002,B ترحيب,ترحيب رسمي,أهلًا وسهلًا,id,Selamat datang,أهلًا وسهلًا,سلامة القدوم,سلامات داتانغ,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,محل حديث/لافتة,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,I4,no
ID003,B ترحيب,جاوي,تفضل,id,Monggo,تفضل / تكرّم,,مونغّو,إندونيسيا,جاوة,,شعبي,الجميع,الجميع,الجميع,جاوة خصوصًا,ودود,شعبي,منخفضة,🔥 شائعة جدًا,جاوية حية. ليست فصحى مدرسية.,,,,متوسطة,I4,yes
ID004,A جذب,نداء,تعال شوف / ادخل,id,"Mampir, Kak!",عرّج/ادخل,,مامبير، كاك,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,warung/بسطة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,yes
ID005,A جذب,بلا التزام,بس شوف ما بتخسر,id,"Lihat dulu, nggak wajib beli",شوف أول، مو لازم تشتري,,ليهات دولو، إنغّاك واجب بيلي,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,جذب,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1 I4,no
ID006,A جذب,جديد,وصل اليوم,id,Yang ini baru datang,هذا وصل جديد,,يانغ إيني بارو داتانغ,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,نداء منتج,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID007,C مخاطبة,محايد حديث,يا أستاذ/أختي (قريب العمر),id,Kak,يا كاك,,كاك,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,تجزئة حديثة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,للجنسين.,,,,عالية,I1,no
ID008,C مخاطبة,رجل محترم,يا أستاذ,id,Pak,يا أستاذ / يا عم,,پاك,إندونيسيا,عام,,محترم وودود,الجميع,رجل,الجميع,رجل أكبر أو محترم,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID009,C مخاطبة,امرأة محترمة,يا أستاذة,id,Bu,يا مدام / يا أستاذة,,بو,إندونيسيا,عام,,محترم وودود,الجميع,امرأة,الجميع,امرأة أكبر أو محترمة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID010,C مخاطبة,جاوة رجل,يا أخوي,id,Mas,يا أخ (جاوي),,ماس,إندونيسيا,جاوة+,,شعبي,الجميع,رجل,الجميع,رجل,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1 I4,no
ID011,C مخاطبة,جاوة امرأة,يا أختي,id,Mbak,يا أخت (جاوي),,مْباك,إندونيسيا,جاوة+,,شعبي,الجميع,امرأة,الجميع,امرأة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID012,D اكتشاف,سؤال حاجة,شو بدك اليوم؟,id,"Cari apa, Kak?",تدور على إيش؟,,تشاري آبا، كاك,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,فتح حديث,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID013,D اكتشاف,متفرج,خذ راحتك,id,"Santai aja, lihat dulu",على راحتك شوف,,سانتاي أجا، ليهات دولو,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,رد المتفرج,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID014,E عرض,طلب,عليه طلب,id,Ini yang lagi laku,هذا اللي ينباع,,إيني يانغ لاغي لاكو,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,إثبات اجتماعي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID015,E عرض,جودة,خامة ممتازة,id,"Bahannya bagus, bukan abal-abal",خامتُه حلوة مو زائفة,,باهانْنيا باغوس، بوكان أبال-أبال,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,مدح,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,I4,no
ID016,H سعر,سؤال,بكم؟,id,"Ini harganya berapa, Kak?",بكم هذا؟,,إيني هارجانيا بيراپا,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,سؤال سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID017,H سعر,ثابت,آخر سعر / السعر ثابت,id,Harga pas,السعر ثابت/الصافي,,هارجا پاس,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,عدم المساومة أو السعر الصافي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Harga mati,,عالية,I1 I2,yes
ID018,H سعر,نهائي,آخر سعر,id,Sudah paling murah,هذا أرخص ما عندي,,سوداه پالينغ موراه,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق نزول,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID019,H تفاوض,طلب خصم,في مجال؟,id,"Bisa lebih murah, Kak?",تقدر أرخص؟,,بيسا لبيه موراه,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,بداية مساومة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Bisa kurang?,,عالية,I1,no
ID020,H تفاوض,رفض لطيف,والله ما أقدر,id,"Wah, rugi saya, Kak",أتضرر/خسارة عليّ,,واه، روغي سايا,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,رفض خصم كبير,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,yes
ID021,H خصم,شخصي,عشانك,id,"Khusus Kakak, saya potong",خصوصًا لك أنزّل,,خصوص كاكا، سايا پوتونغ,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,خصم شخصي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID022,H تفاوض,اتفاق,اتفقنا,id,Deal / oke,اتفقنا,,ديل / أوكي,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID023,G اعتراض,غالي,غالي؟ شوف الجودة,id,"Mahal sih, tapi bahannya beda",غالي بس الخامة غير,,ماهال سي، تاپي باهانْنيا بيدا,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,رد mahal,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID024,G اعتراض,بديل,عندي أرخص,id,Saya tunjukkan yang lebih hemat,أوريك أوفر,,سايا تونجوكّان يانغ لبيه هيمات,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,تحويل,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID025,I إغلاق,تغليف,نغلفها لك؟,id,Saya bungkuskan ya?,أغلفها لك؟,,سايا بونغكوسكان يا,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,إغلاق ناعم,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I2,no
ID026,K وداع,عودة,حياك مرة ثانية,id,"Makasih, mampir lagi ya",شكرًا، عرّج مرة ثانية,,ماكاشيه، مامبير لاغي يا,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,توديع,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID027,K دائم,تمييز,يا هلا بالقديم,id,"Wah, langganan datang!",الزبون الدائم إجا!,,واه، لانغّانان داتانغ,إندونيسيا,عام,,عفوي,زبون دائم,الجميع,الجميع,زبون دائم,ودود,عفوي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID028,K دائم,المعتاد,إيش نجهز لك,id,Yang biasa?,المعتاد؟,,يانغ بياسا,إندونيسيا,عام,,عفوي,زبون دائم,الجميع,الجميع,دائم,ودود,عفوي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID029,N غضب,اعتذار,معك حق,id,"Saya dengar, Pak. Maaf sekali",أسمعك، آسف جدًا,,سايا دِنغار، پاك. ماعاف سكالي,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,غاضب,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID030,J إضافي,مكمل,خذ معها,id,"Sekalian yang ini, nyambung",خذ هذا معه يكمّل,,سكاليان يانغ إيني، نيامبونغ,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,بيع إضافي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID031,H سعر,جملة,سعر جملة,id,Harga grosir,سعر جملة,,هارجا غروسير,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,كمية,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,I1,no
ID032,A جذب,عرض,عندنا عرض,id,Ada promo hari ini,عندنا عرض اليوم,,آدا پرومو هاري إيني,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,جذب,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID033,C مخاطبة,تحذير,يا حبيبتي,id,Sayang / cantik (نداء),يا حبيبي/يا حلوة — لا تُقال لغريبة,,سايانغ / تشانتيك,إندونيسيا,عام,,حميمي,الجميع,امرأة,الجميع,⚠️ غريبة,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,I4,no
ID034,I إغلاق,دفع,كاش أو شبكة,id,Bayar tunai atau qris/kartu?,نقدًا أو QR/بطاقة؟,,بايار توناي أو كريس,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,دفع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,yes
ID035,A جذب,تصفية,حراج / تصفية,id,Cuci gudang!,تصفية مستودع,,تشوتشي غودانغ,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,نداء سوق,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,I4,yes
ID036,K وداع,سلامة طريق,مع السلامة,id,Hati-hati di jalan,انتبه في الطريق,,هاتي-هاتي دي جالان,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,توديع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID037,N إرجاع,تبديل,نبدله,id,Bisa ditukar,يمكن تبديله,,بيسا ديتوكار,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,إرجاع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
ID038,E عرض,تجربة,جرّب,id,"Coba dulu, Kak",جرّب أول,,تشوبا دولو,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,ملابس/عطر/أكل,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,I1,no
ID039,H تفاوض,رأس مال,ما أقدر,id,Saya belum balik modal,بعدني ما غطيت رأس المال,,سايا بلوم باليك مودال,إندونيسيا,عام,,شعبي,الجميع,الجميع,الجميع,رفض خصم,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,I1 I2,no
ID040,K غير مشترٍ,وجه طيب,ولا يهمك,id,"Nggak apa-apa, lain kali mampir lagi",عادي، المرة الجاية تعال,,إنغّاك آبا-آبا,إندونيسيا,عام,,محترم وودود,الجميع,الجميع,الجميع,لم يشترِ,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,I4,no
TJ001,B ترحيب,ترحيب عام,يا هلا وسهلا,tg,Хуш омадед,أهلًا وسهلًا,جئتم طيبين,خوش آمديد,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,دخول المحل,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,J1 J2,no
TJ002,B ترحيب,دعوة,تفضل,tg,Марҳамат,تفضل / خذ / ادخل,,مرحَمَت,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,دعوة متعددة الوظائف,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,J3,no
TJ003,B ترحيب,إسلامي,السلام عليكم,tg,Ассалом алейкум,السلام عليكم,,أسلوم عليكوم,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,افتتاح اللقاء,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,J3,no
