id,phrase,msa,country,dialect,situation,addressee,formality,familiarity,humor,frequency,notes
J012,اتفرج بس، ولا يلزمك شيء,انظر فقط، لا يجب عليك شيء,مصر/شام,مصرية/شامية,جذب,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,يزيل مقاومة المار
J013,تعال أوريك شيء ممكن يعجبك,تعال أريك شيئًا قد يعجبك,مشتركة,عربية مشتركة,جذب بالفضول,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,فضول ناقص يفتح الحوار
J014,عندي شيء على ذوقك، تعال شوف,عندي شيء يناسب ذوقك,مشتركة,عربية مشتركة,جذب بمجاملة,الجميع,شعبي,متوسطة,لا,⭐ شائعة,تمدح ذوقه قبل أن يرى
J015,دقيقة وحدة بس، لو سمحت,دقيقة واحدة فقط من فضلك,مشتركة,عربية مشتركة,جذب,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,طلب وقت قصير يصعب رفضه
J016,شوف قبل ما تروح,انظر قبل أن تغادر,شام/خليج,شامية/خليجية,جذب,الجميع,شعبي,منخفضة,لا,⭐ شائعة,تستغل لحظة المرور
J017,ادخل واتفرج، أحسن من الواقف,ادخل وانظر، أفضل من الوقوف,مصر,مصرية,دعوة دخول,الجميع,شعبي,متوسطة,نعم,✅ مفيدة,نكتة خفيفة تحول الوقوف لدخول
J018,جديد وصل اليوم!,بضاعة جديدة وصلت اليوم,مشتركة,عربية مشتركة,نداء بالمنتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,الحداثة جاذب عالمي
J019,وصلنا البضاعة الجديدة، تعال شوف,وصلتنا البضاعة الجديدة,خليج/عراق,خليجية/عراقية,نداء بالمنتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
J020,عندنا شغلات حلوة اليوم,عندنا أشياء جميلة اليوم,خليج/عراق,خليجية/عراقية,جذب,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
J021,هذا اللي الكل يدور عليه,هذا الذي يبحث عنه الجميع,مشتركة,عربية مشتركة,إثبات اجتماعي,الجميع,شعبي,منخفضة,لا,⭐ شائعة,نشتري ما يشتريه الآخرون
J022,هذا عليه طلب، ما يقعد عندنا,هذا مطلوب كثيرًا ولا يبقى عندنا,خليج,خليجية,ندرة وحركة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
J023,آخر قطعة! إذا ما أخذتها اليوم بتندم,آخر قطعة، إن لم تأخذها اليوم ستندم,مشتركة,عربية مشتركة,ندرة,الجميع,شعبي,متوسطة,لا,✅ مفيدة,تُقال بابتسامة لا بتهديد
J024,اليوم عليه حركة، الناس طالبه,اليوم مطلوب بكثرة,خليج/يمن,خليجية/يمنية,إثبات اجتماعي,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
J025,بعشرة بس! كل شي بعشرة!,بعشرة فقط، كل شيء بعشرة,مصر,مصرية,نداء بالسعر,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,النداء الأشهر في أسواق الملابس المصرية
J026,سعرنا أحسن من السوق,سعرنا أفضل من بقية السوق,مصر,مصرية,نداء بالسعر,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
J027,عندنا عرض اليوم: قطعتين بسعر وحدة,عندنا عرض اليوم: قطعتان بسعر واحدة,مشتركة,عربية مشتركة,عرض,الجميع,شعبي,منخفضة,لا,⭐ شائعة,صيغة العرض الكلاسيكية
J028,حمار وحلاوة على السكين,بطيخ حلو نضمنه ونقطعه أمامك,مصر,مصرية (تراثية),نداء البطيخ,الجميع,شعبي,متوسطة,لا,⭐ شائعة,من أشهر نداءات الباعة المصريين؛ يضمن الحلاوة
J029,طعمية كباب,طعمية بجودة الكباب,مصر,مصرية (تراثية),نداء طعمية,الجميع,شعبي,متوسطة,لا,✅ مفيدة,نداء قديم ما زال يُستأنس به
J030,الكعك يا حبايب، جديد وسخن,الكعك يا أحباب، جديد وساخن,فلسطين/مصر,شامية/مصرية,نداء كعك,الجميع,شعبي,عالية,لا,⭐ شائعة,موثق من تقرير باعة غزة
J031,شكلك تدور على شيء معين، ممكن أساعدك؟,يبدو أنك تبحث عن شيء محدد,مشتركة,عربية مشتركة,فتح حوار,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,يحول المار إلى زبون بلا إلحاح
J032,أول مرة أشوفك هنا؟,هل هذه أول زيارة لك؟,مشتركة,عربية مشتركة,تعارف,الجميع,محترم وودود,متوسطة,لا,✅ مفيدة,
J033,أنت من أهل الحي؟,هل أنت من سكان الحي؟,مشتركة,عربية مشتركة,بناء أرضية اجتماعية,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
J034,بتدور على هدية؟ عندنا خيارات حلوة,هل تبحث عن هدية؟ عندنا خيارات جميلة,مشتركة,عربية مشتركة,تخمين الحاجة,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,
J035,يا هلا وسهلا,أهلًا وسهلًا,مشتركة,خليجية/شامية الأصل، مفهومة عالميًا,ترحيب,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,أشهر ترحيب عربي
J036,نورت/نورتونا,أنرت المكان بقدومك,خليج/شام,خليجية/شامية,ترحيب,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,نورت للمفرد، نورتونا للجمع والتعظيم
J037,أهلًا وسهلًا,أهلًا وسهلًا,مشتركة,عربية مشتركة,ترحيب,الجميع,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,آمنة في كل المستويات
J038,حياك الله/حياكم الله,حيّاك الله,مشتركة,عربية مشتركة,ترحيب,الجميع,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,بُعد ديني محبوب
J039,تفضل/تفضلي/تفضلوا,تفضل بالدخول أو الأخذ,مشتركة,عربية مشتركة,دعوة دخول,الجميع,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,متعددة الوظائف
J040,أهلين وسهلين,أهلًا وسهلًا,شام/خليج/عراق,شامية/خليجية/عراقية,ترحيب,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J041,يا هلا بالغالي/بالغالية,أهلًا بالعزيز/العزيزة,خليج,خليجية,ترحيب,رجل/امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,مخاطبة مباشرة بالقيمة
J042,منورين,أنتم تنوّرون المكان,خليج/شام,خليجية/شامية,ترحيب جمع,جمع,شعبي,متوسطة,لا,⭐ شائعة,
J043,يا مرحبا,يا للترحيب,خليج/شام,خليجية/شامية,ترحيب,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
J044,الله يحييك,الله يحييك,مشتركة,عربية مشتركة,ترحيب/رد ترحيب,الجميع,محترم وودود,متوسطة,لا,⭐ شائعة,
J045,يا هلا فيك/فيكي,أهلًا بك,شام,شامية,ترحيب,رجل/امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,الأكثر شيوعًا في الشام
J046,هلا والله، هلا بيك,أهلًا والله بك,عراق/خليج,عراقية/خليجية,ترحيب,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J047,شلونك؟ شكو ماكو؟,كيف حالك؟ ما الأخبار؟,عراق,عراقية,ترحيب وفتح حديث,الجميع,شعبي,عالية,لا,🔥 شائعة جدًا,شعار الترحيب العراقي الأشهر
J048,مرحبا، مرحبتين,مرحبًا، مرحبتين,مغرب,مغربية,ترحيب,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,تعظيم الترحيب
J049,تفضل يا باشا/يا فندم,تفضل يا سيدي,مصر,مصرية,ترحيب,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,
J050,هلا بالنشاما,أهلًا بالكرام الشجعان,سعودية (نجد),نجدية,ترحيب,رجال,شعبي,عالية,لا,⭐ شائعة,من أجمل ألقاب السوق السعودي
J051,نورت الدكان/المحل,أنرت المحل,خليج/عراق,خليجية/عراقية,ترحيب,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
J052,البيت بيتك,البيت بيتك (كرم الضيافة),خليج/شام/عراق,خليجية/شامية/عراقية,ترحيب أقصى,الجميع,شعبي,عالية,لا,🔥 شائعة جدًا,أقصى درجات الكرم اللفظي
J053,خذ راحتك,خذ راحتك ولا تستعجل,مشتركة,عربية مشتركة,ترحيب مريح,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J054,شو بدك اليوم؟,ماذا تريد اليوم؟,شام,شامية,فتح حديث,رجل/امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J055,شنو تريد؟,ماذا تريد؟,عراق,عراقية,فتح حديث,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J056,وش تبي؟,ماذا تريد؟,خليج,خليجية,فتح حديث,رجل/امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,
J057,إزيك؟ عامل إيه؟,كيف حالك؟,مصر,مصرية,فتح حديث,الجميع,شعبي,عالية,لا,🔥 شائعة جدًا,
J058,يا هلا بالضيف,أهلًا بالضيف,يمن,يمنية,ترحيب,رجل,شعبي,عالية,لا,⭐ شائعة,لغة الضيافة اليمنية
J059,تساهيل,الأمور ميسّرة/أهلًا,عمان,عمانية,ترحيب ووداع,الجميع,شعبي,متوسطة,لا,⭐ شائعة,تُقال ترحيبًا ووداعًا في عمان
J060,برشا أهلًا بيك,ترحيبًا كثيرًا بك,تونس,تونسية,ترحيب,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
J061,لبيه,أنا في خدمتك,موريتانيا,حسانية,تلبية/ترحيب,الجميع,محترم وودود,متوسطة,لا,⭐ شائعة,من لبّيك
J062,يا هلا بالعيلة كلها، اتفضلوا,أهلًا بالعائلة كلها تفضلوا,مشتركة,عربية مشتركة,ترحيب عائلة,عائلة,شعبي,متوسطة,لا,⭐ شائعة,
J063,يا هلا بشيخنا، اتفضل اجلس,أهلًا بك يا كبيرنا، تفضل اجلس,مشتركة,عربية مشتركة,ترحيب كبير سن,رجل كبير,محترم وودود,متوسطة,لا,⭐ شائعة,يُقدم كرسي في المحلات التقليدية
J064,اتفضل ادخل، بس شوف,تفضل ادخل وانظر فقط,مشتركة,عربية مشتركة,دعوة دخول,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
J065,أنا في خدمتك,أنا في خدمتك,مشتركة,عربية مشتركة,عرض مساعدة,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,
J066,أمرك/تحت أمرك,أنا تحت أمرك,مصر/شام,مصرية/شامية,تلبية,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,
J067,عندك شيء معين ببالك؟,هل عندك شيء محدد في بالك؟,مشتركة,عربية مشتركة,اكتشاف الحاجة,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,أفضل سؤال: لا يفترض ولا يلزم
J068,بتدور على شيء معين ولا بتتفرج؟,هل تبحث عن شيء محدد أم تتفرج؟,مشتركة,عربية مشتركة,اكتشاف الحاجة,الجميع,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,يعطي حرية الاختيار فيكسب الثقة
J069,تحب أساعدك ولا تفضل تشوف براحتك؟,هل تريد مساعدة أم تفضل المشاهدة؟,مشتركة,عربية مشتركة,عرض مساعدة محترم,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,احترام الخصوصية
J070,لمين؟ لنفسك ولا هدية؟,لمن؟ لنفسك أم هدية؟,مشتركة,عربية مشتركة,تحديد الحاجة,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,يحدد الفئة السعرية والنوع
M001,يا أستاذ,يا سيدي المحترم,مشتركة,عربية مشتركة,مخاطبة رجل,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,أنجح لقب عربي مشترك
M002,يا أخوي/يا أخي,يا أخي,خليج/مشتركة,خليجية/مشتركة,مخاطبة رجل,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,
M003,يا غالي,يا عزيزي,مشتركة,عربية مشتركة,مخاطبة رجل,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,من أكثر الألقاب أمانًا
M004,يا معلم,يا أستاذ/أيها المقتدى,مصر/شام,مصرية/شامية,مخاطبة رجل,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,في الشام لصاحب الحرفة؛ خليجيًا لصاحب المحل
M005,يا باشا,يا سيدي,مصر,مصرية,مخاطبة رجل,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,لقب فخم مجامل
M006,يا حجي,يا سيدي المحترم,عراق,عراقية,مخاطبة رجل,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,لكل رجل عراقي تقريبًا
M007,يا خويا,يا أخي,مغرب/جزائر/تونس,مغاربية,مخاطبة رجل,رجل,شعبي,عالية,لا,🔥 شائعة جدًا,الأكثر تداولًا في المغرب العربي
M008,يا شيخ,يا كبير/محترم,خليج/يمن,خليجية/يمنية,مخاطبة رجل كبير,رجل كبير,محترم وودود,متوسطة,لا,⭐ شائعة,في مصر للرجل الديني فقط تقريبًا
M009,يا طويل العمر,يا من أطال الله عمرك,شام/مصر/خليج,مشتركة,مخاطبة رجل,رجل,محترم وودود,متوسطة,لا,⭐ شائعة,ممتازة مع الكبار
M010,يا حبيب,يا عزيزي,مصر/شام/خليج,مشتركة,مخاطبة رجل,رجل,شعبي,عالية,لا,⭐ شائعة,بين الرجال فقط في السوق
M011,يا بطل,يا بطل,مشتركة,عربية مشتركة,تشجيع,شاب/طفل,شعبي,متوسطة,لا,⭐ شائعة,
M012,يا نشمي,يا الكريم الشجاع,سعودية (نجد),نجدية,مخاطبة رجل,رجل,شعبي,عالية,لا,⭐ شائعة,إطراء رجولة خليجي
M013,يا زول,يا رجل,سودان,سودانية,مخاطبة رجل,رجل,شعبي,عالية,لا,⭐ شائعة,
M014,يا حاج,يا حاج بيت الله,مصر/عراق,مصرية/عراقية,مخاطبة كبير سن,رجل كبير,محترم وودود,متوسطة,لا,⭐ شائعة,إكرام لا وصفًا دينيًا حتمًا
M015,يا عم,يا عم,مصر/شام,مصرية/شامية,مخاطبة رجل أكبر,رجل أكبر,شعبي,متوسطة,لا,⭐ شائعة,لا تقال لشاب
M016,يا عمي,يا سيدي (احترام),عراق/شام,عراقية/شامية,مخاطبة رجل أكبر,رجل أكبر,شعبي,متوسطة,لا,🔥 شائعة جدًا (عراق),
M017,يا زلمة,يا رجل,شام/عراق,شامية/عراقية,بين الأقران,رجل,عفوي,عالية,لا,⭐ شائعة,لا تُقال لكبير في أول لقاء
M018,يا صاحبي,يا صديقي,مصر/مغرب,مصرية/مغربية,مخاطبة رجل,رجل,شعبي,عالية,لا,⭐ شائعة,
M019,يا دكتور/يا مهندس,يا دكتور/مهندس,مشتركة,عربية مشتركة,رفع مقام,رجل,محترم وودود,منخفضة,لا,✅ مفيدة,مجاملة مهنية شائعة
M020,يا باشمهندس,يا أيها المهندس الكبير,مصر,مصرية,مجاملة مهنية,رجل,محترم وودود,منخفضة,لا,⭐ شائعة,
M021,يا فندم,يا سيدي,مصر,مصرية,مخاطبة رجل,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,تهذيب أفندم العثمانية
M022,يا سي فلان,يا سيد فلان,مغرب/تونس,مغاربية,احترام,رجل,محترم وودود,منخفضة,لا,⭐ شائعة,
M023,يا أبو فلان,يا أبا فلان (كنية),مشتركة,عربية مشتركة,للمعروف/الدائم,رجل,شعبي,عالية,لا,⭐ شائعة,للدائمين والمعارف فقط
M024,يا أستاذة,يا سيدتي المحترمة,مشتركة,عربية مشتركة,مخاطبة امرأة,امرأة,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,الأكثر أمانًا لكل الأعمار
M025,يا أختي/يا خيتي,يا أختي,مشتركة/خليج,مشتركة/خليجية,مخاطبة امرأة,امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,آمنة جدًا
M026,يا غالية,يا عزيزتي,مشتركة,عربية مشتركة,مخاطبة امرأة,امرأة,شعبي,متوسطة,لا,🔥 شائعة جدًا,من أفضل ألقاب السوق للنساء
M027,يا مدام,يا سيدتي,مصر/خليج,مصرية/خليجية,مخاطبة امرأة,امرأة,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,للمحترمات والمتزوجات
M028,يا دكتورة,يا دكتورة,مشتركة,عربية مشتركة,رفع مقام,امرأة,محترم وودود,منخفضة,لا,⭐ شائعة,مجاملة شائعة
M029,يا حاجة,يا حاجة بيت الله,مصر,مصرية,مخاطبة امرأة كبيرة,امرأة كبيرة,محترم وودود,متوسطة,لا,⭐ شائعة,مصرية خالصة؛ قد تُفهم خطأ خارج مصر
M030,يا ست/يا ستي,يا سيدتي,مصر,مصرية,مخاطبة امرأة كبيرة,امرأة كبيرة,محترم وودود,متوسطة,لا,⭐ شائعة,
M031,يا هانم,يا سيدتي (عثمانية),مصر,مصرية,مخاطبة امرأة,امرأة,محترم وودود,منخفضة,لا,✅ مفيدة,في المحلات الراقية
M032,يا آنسة,يا آنسة,مشتركة,عربية مشتركة,رسمي للشابات,شابة,رسمي جدًا,منخفضة,لا,✅ مفيدة,قد تُعد قديمة مع الشابات
M033,يا خالة,يا خالة,شام/مصر,شامية/مصرية,مخاطبة امرأة أكبر,امرأة أكبر,شعبي,متوسطة,لا,⭐ شائعة,حنون وآمنة
M034,يا لالا,يا سيدتي,مغرب,مغربية,مخاطبة امرأة,امرأة,محترم وودود,متوسطة,لا,⭐ شائعة,
M035,يا بنتي/يا بنيتي,يا ابنتي,مغرب/مصر,مغاربية/مصرية,من كبير سنًا لشابة,شابة,شعبي,عالية,لا,⭐ شائعة,من شاب لشابة قد يُفهم تقليلًا
M036,يا محترمة,يا سيدة محترمة,خليج/مصر,خليجية/مصرية,مخاطبة امرأة,امرأة,محترم وودود,منخفضة,لا,⭐ شائعة,
M037,يا بنت الناس,يا ابنة الكرام,مصر/خليج,مصرية/خليجية,مدح الأصل,امرأة,شعبي,متوسطة,لا,⭐ شائعة,إطراء عائلي محترم
M038,يا أم فلان,يا أم فلان (كنية),مشتركة,عربية مشتركة,للدائمة المعروفة,امرأة,شعبي,عالية,لا,⭐ شائعة,فقط إذا عُرفت الكنية
M039,يا حبيبتي (من رجل لامرأة غريبة),يا حبيبتي,خطر في معظم الدول,مختلفة,مخاطبة امرأة غريبة,امرأة,⚠️ غير لائقة,⚠️,لا,⚠️ حساسة,قد تُعد مضايقة؛ بين النساء فقط أو مع دائمة معروفة جدًا
M040,يا حلوة/يا قمر (لغريبة),يا جميلة,⚠️,مختلفة,مجاملة مظهر,امرأة,⚠️,⚠️,لا,⚠️ حساسة,تعليق على المظهر؛ غير مناسب مع الغريبات
E001,شوف هذا، وصل اليوم,انظر إلى هذا، وصل اليوم,مشتركة,عربية مشتركة,عرض منتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
E002,تعال أوريك شي يستاهل,تعال أريك شيئًا يستحق,مشتركة,عربية مشتركة,عرض منتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
E003,عندي لك شيء حلو اليوم، شوف,عندي لك شيئًا جميلًا اليوم,مشتركة,عربية مشتركة,عرض منتج,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,لك=هدية شخصية
E004,هذا اللي يدور عليه أغلب الناس,هذا الذي يبحث عنه أغلب الناس,مشتركة,عربية مشتركة,إثبات اجتماعي,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
E005,شوف اللي عندنا قبل ما تشتري من غيرنا,انظر ما عندنا قبل الشراء من غيرنا,شام/خليج,شامية/خليجية,عرض,الجميع,شعبي,متوسطة,لا,⭐ شائعة,تحدٍّ لطيف
E006,عندنا تشكيلة جديدة كاملة، تعال خذ جولة,عندنا تشكيلة جديدة كاملة,مشتركة,عربية مشتركة,عرض,الجميع,محترم وودود,منخفضة,لا,⭐ شائعة,
E007,آخر موديل، جديد من المصنع,أحدث موديل من المصنع,مشتركة,عربية مشتركة,عرض,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E008,أوريك الأغلى والأرخص، وأنت تختار,أريك الأغلى والأرخص فتختار,مشتركة,عربية مشتركة,عرض خيارات,الجميع,شعبي,منخفضة,لا,⭐ شائعة,شفافية تبني ثقة
E009,شغل نظيف، خامة ممتازة,عمل متقن وخامة ممتازة,مشتركة,عربية مشتركة,مدح منتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,نظيف=متقن في السوق
E010,هذا أصلًا، مو تقليد,هذا أصلي وليس مقلدًا,مشتركة,عربية مشتركة,مدح منتج,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,كلمة أصلًا تفتح وتغلق صفقات
E011,شغل يدوي، كل قطعة وحدة ما في زيّها,صناعة يدوية لا مثيل لها,مشتركة,عربية مشتركة,ندرة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E012,مضمون، وإذا في عيب نبدله على طول,مضمون، نبدله فورًا عند أي عيب,مشتركة,عربية مشتركة,ضمان,الجميع,شعبي,منخفضة,لا,⭐ شائعة,يقلب المخاطرة
E013,خذها بإيدك، حس على الخامة,خذها بيدك وتحسس الخامة,مشتركة,عربية مشتركة,تجربة حسية,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,اللمس يطلق تأثير الملكية
E014,هذا يتحمل، يخدمك سنين,هذا متين ويخدمك سنوات,مشتركة,عربية مشتركة,ميزة متانة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E015,هذا نفس اللي في المولات، بس عندنا أوفر,نفس بضاعة المولات بسعر أقل,مشتركة,عربية مشتركة,مقارنة,الجميع,شعبي,منخفضة,لا,✅ مفيدة,
E016,عندك ثلاثة أنواع: ممتاز، جيد، واقتصادي — وش يناسبك؟,عندك ثلاثة أنواع... أيهما يناسبك؟,مشتركة,عربية مشتركة,عرض خيارات,الجميع,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,تصنيف صريح يريح الزبون
E017,هذا ولا هذا؟ خذ وقتك,هذا أم هذا؟ خذ وقتك,مشتركة,عربية مشتركة,اختيار ثنائي,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E018,الفرق بينهم كذا، والزيادة تستاهل,الفرق بينهما كذا والزيادة تستحق,مشتركة,عربية مشتركة,مقارنة لبيع الأعلى,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E019,جرب هذا، وإذا ما عجبك في هذا غيره,جرّب هذا وإن لم يعجبك فثمة غيره,مشتركة,عربية مشتركة,تجربة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
E020,عندي نفس الشكل بلون ثاني/بمقاس ثاني,عندي نفس الشكل بلون أو مقاس آخر,مشتركة,عربية مشتركة,بدائل,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,لا تترك الزبون بلا بديل
E021,هذا عليه طلب، ما يقعد عندنا يومين,مطلوب كثيرًا لا يبقى عندنا,خليج,خليجية,حركة,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
E022,الناس يرجعون يشترون منه مرة ثانية,الناس يعودون لشرائه ثانية,مشتركة,عربية مشتركة,إثبات اجتماعي,الجميع,شعبي,منخفضة,لا,⭐ شائعة,تكرار الشراء أقوى شهادة
E023,الكمية اللي وصلت اليوم نصها طاح في الصبح,نصف الكمية الواصلة بِيعت صباحًا,خليج/شام,خليجية/شامية,حركة,الجميع,شعبي,متوسطة,لا,⭐ شائعة,
P001,حسبك: إذا قسمتها على سنوات الاستخدام، تطلع بلا شيء,احسبها على سنوات الاستخدام فتكون بلا قيمة,مشتركة,عربية مشتركة,تقسيم التكلفة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
P002,الفرق بين هذا وذاك عشرة ريالات بس، والفرق في الجودة كبير,الفرق بسيط والجودة مختلفة,مشتركة,عربية مشتركة,تأطير مقارنة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
P003,اشتري الغالي مرة، ولا الرخيص مرتين؟,اشتر الغالي مرة أم الرخيص مرتين؟,مشتركة,عربية مشتركة,تأطير,الجميع,شعبي,متوسطة,لا,🔥 شائعة جدًا,مثل تجاري ذكي
P004,الرخيص اللي ينكسر بعد شهر = خسارة، وهذا يخدمك سنين = توفير,الرخيص ينكسر سريعًا...,مشتركة,عربية مشتركة,قيمة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
P005,تخيلها عليك/في بيتك، بتفرق كل شي,تخيلها عليك أو في بيتك,مشتركة,عربية مشتركة,تخيل الاستخدام,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
P006,إذا لبستها، الكل بيسألك منين جبتها,إذا لبستها سيسألك الجميع عن مصدرها,مشتركة,عربية مشتركة,تخيل (ملابس),الجميع,شعبي,منخفضة,لا,⭐ شائعة,
P007,شوفها في المراية، شوف الفرق على نفسك,انظر إليها في المرآة,مشتركة,عربية مشتركة,تجربة بصرية,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
P008,هذا أكثر شي نبيعة هذا الأسبوع,هذا الأكثر مبيعًا هذا الأسبوع,مشتركة,عربية مشتركة,إثبات اجتماعي,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,
P009,نحن منوّرين المنطقة من سنين، والناس تثق فينا,نحن في المنطقة منذ سنوات,مشتركة,عربية مشتركة,سمعة المحل,الجميع,شعبي,منخفضة,لا,✅ مفيدة,
P010,آخر قطعة عندنا من هذا اللون,لم يبقَ إلا آخر قطعة من هذا اللون,مشتركة,عربية مشتركة,ندرة,الجميع,شعبي,منخفضة,لا,⭐ شائعة,
